"ip","city","region","country","isp","page","referrer","timestamp","userAgent","user_agent","created_at"
"2600:100d:b035:9b1a:798f:878d:ff80:4bc4","Houston","Texas","United States","CELLCO-PART","/","https://safesapcrtx.org/","2026-01-05T19:56:47.106Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1","2026-01-05T19:56:47.200Z"
"185.246.174.211","Newark","New York","United States","HostRoyale Technologies Pvt Ltd","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T19:39:06.166Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.156 Mobile/15E148 Safari/604.1","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.156 Mobile/15E148 Safari/604.1","2026-01-05T19:39:06.277Z"
"34.31.208.178","Council Bluffs","Iowa","United States","GOOGLE-CLOUD-PLATFORM","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T19:17:18.516Z","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36","2026-01-05T19:17:18.591Z"
"2604:9a00:1:10a:1c00:e5ff:fe00:727","Manassas","Virginia","United States","LEASEWEB-USA-WDC","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T18:55:23.842Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","2026-01-05T18:55:23.955Z"
"3.80.206.56","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T18:27:30.165Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36","2026-01-05T18:27:30.236Z"
"100.31.238.93","Ashburn","Virginia","United States","AMAZON-AES","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T18:27:22.213Z","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","2026-01-05T18:27:22.307Z"
"205.169.39.2","Colorado Springs","Colorado","United States","LEVEL3","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T18:19:53.801Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36","2026-01-05T18:19:54.031Z"
"205.169.39.201","Colorado Springs","Colorado","United States","LEVEL3","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T18:19:07.143Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36","2026-01-05T18:19:07.249Z"
"216.251.143.106","Montreal","Quebec","Canada","GTT Communications Inc.","/","https://safesapcrtx.org/","2026-01-05T18:17:02.485Z","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","2026-01-05T18:17:02.564Z"
"65.130.170.89","Salt Lake City","Utah","United States","CENTURYLINK-US-LEGACY-QWEST","/","https://safesapcrtx.org/?utm_source=media_outreach&utm_medium=email&utm_campaign=jan2026_launch","2026-01-05T17:34:20.010Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36","2026-01-05T17:34:20.334Z"
